key,score
258918,0.9999882
258134,0.9863085
165265,0.25809425
522141,0.9933744
569662,0.99934036
556369,1.0
426252,0.99998677
523369,1.3323261e-11
128768,0.9999999
479474,0.9999677
319766,0.99463224
400573,3.1077971e-09
521741,0.05836334
172287,0.9847429
195129,5.815658e-07
121076,0.86689943
18000,0.99943227
573718,7.791448e-06
255910,0.99996006
427444,0.999134
289547,0.7568455
126997,0.99999917
452834,0.18032773
152236,0.0007715398
147696,0.8367582
574280,3.58575e-08
263979,0.9999974
342576,0.989509
122740,0.99999976
94522,0.9999764
193528,1.6000452e-07
283679,9.065088e-28
309557,0.9854848
393982,0.9999461
395787,0.05905868
428686,0.24386106
546489,5.613633e-05
166263,0.012583805
453352,0.009226799
68836,0.9999999
69941,0.999972
480,0.9999856
552162,5.56092e-14
212516,0.3515032
519215,0.00050677767
387174,0.002058591
453450,9.759278e-09
378816,2.0770732e-17
428171,0.99790215
203413,0.11110767
554832,0.9999993
107213,1.7102563e-09
4905,2.7008025e-12
74170,1.0
170306,0.78475845
23003,1.0
580325,1.1663533e-05
18031,0.9893115
568458,0.0009694665
570891,0.90479267
452158,0.00042497998
180169,0.10790992
518995,1.0921827e-06
148214,0.00014267652
68801,0.16654474
82068,0.44414428
333194,0.20406342
113278,1.0
426445,0.03313587
82037,0.9999931
380884,0.9699571
401307,0.72707367
124023,0.86244565
510315,0.11870538
51023,0.9964694
157672,0.08530911
273559,0.99820113
366464,2.5694762e-05
208100,5.5511343e-08
174710,0.9303487
415176,0.06905675
274275,4.2770242e-07
11445,0.3617914
486912,1.432682e-12
100215,0.913325
111260,1.0
306571,0.99994504
498342,1.0
91009,1.0
523355,7.284479e-07
524864,0.9999994
434537,0.8940349
159320,0.52631027
492275,0.00094537396
571474,0.016588727
456492,3.6838366e-05
227245,6.9742055e-07
533713,0.00584639
439327,5.9620304e-09
136879,0.9999862
266731,1.9222911e-13
195973,0.99965143
265475,2.8960396e-09
391972,0.9998022
554045,0.99999094
121483,0.42303127
441455,3.8630365e-08
122386,1.0
382689,0.9942041
153316,0.9999659
508308,0.7568455
370580,1.1602232e-16
510905,0.54542965
37663,1.0
381601,1.0
261581,0.22292706
166382,0.0032049655
409932,0.00034154826
58296,0.99981505
230443,0.88291043
550973,0.9999995
565952,1.0
92102,0.94887596
80501,0.9999105
507936,2.617554e-07
118171,0.99780124
224139,0.99999976
315225,0.9652219
294909,3.359384e-07
314035,0.42305872
331394,0.9951362
101629,0.30448827
256282,2.6739633e-09
472630,0.9972976
304582,0.999992
131792,0.007902688
322436,0.95131046
310418,0.03243138
517761,0.018130485
148736,1.0
448003,2.7977828e-12
291596,7.150916e-13
252881,0.9999714
561356,5.5558957e-07
146158,0.969556
420489,5.2184782e-06
196774,0.9999919
304538,0.27673915
94865,1.0
370607,0.9869604
269269,2.3435095e-06
371185,0.0053345654
85471,0.99997294
151412,7.956216e-05
376409,4.8679812e-08
473025,0.9720986
145221,0.9999541
179258,0.0036130357
236276,0.9973568
300524,6.2821868e-09
538481,0.7568455
23149,0.84414446
228043,0.6531696
500323,0.00017605486
563124,0.99800104
538915,7.909859e-05
341184,1.3029357e-07
22604,0.99999964
539098,0.30223215
416925,0.23757662
428435,7.6020554e-13
475823,7.888579e-12
251145,1.0978518e-11
124386,0.66134423
69345,0.9074002
64133,0.98023707
375694,0.99999857
509369,0.8063836
445418,2.4325453e-09
543394,2.7459734e-07
